,tractid,nta_name,totpop00,pop24_00,NHW00,A20_34y00,colleg00,mdfami00,mdrent00,Unnamed: 9,totpop16,pop24_16,NHW16,A20_34y16,College16,mdfami16,mdrent16,Unnamed: 17,NHW00_16,A20_34y00_16,College00_16,mdfami00_16,mdrent00_16,Unnamed: 23,scores_raw,score_0.025,score_0.5,score_0.975,Unnamed: 28,medprice04,medpr_unit04,medpr_sf04,medprice15,medpr_unit15,medpr_sf15,medpr_sf15_IA,sales04,sales15,Status_NYC
1826,36081077907,Kew Gardens Hills,2972,1901,1639.0,682,550.0,41624,729,,3075,1679,2244,1083,841,58375,1427,,0.323267311,0.534785781,0.731,0.402436095,0.957475995,,0.972450005,-0.821473403,0.197850962,1.1903159,,525250.0,438750.0,293.3,685000.0,630000.0,411.76,322.0,42.0,33.0,High to High
1827,36081077908,Kew Gardens Hills,2810,1797,1550.0,653,522.0,41624,729,,4154,2503,1287,1186,716,49056,1421,,-0.438322953,0.228602332,-0.015,0.178550836,0.949245542,,-0.718679524,-1.551694524,-0.541730005,0.466647854,,480000.0,410000.0,249.35,651000.0,580000.0,348.235,272.0,11.0,10.0,High to High
1828,36081078800,Baisley Park,1631,959,20.0,377,133.0,50417,764,,1751,1179,92,398,184,79792,1834,,3.284751571,-0.016646797,0.125,0.582640776,1.40052356,,0.988101091,-0.633564489,0.375445151,1.409661725,,288700.0,232020.0,234.96,333701.0,266500.0,254.25,199.0,148.0,60.0,High to Low
1829,36081079000,Baisley Park,2760,1712,3.0,626,194.0,39986,851,,2799,1907,17,763,391,52944,1331,,4.587709896,0.201866938,0.809,0.324063422,0.564042303,,0.658137329,-0.627205843,0.324756547,1.296025514,,314000.0,218702.5,206.755,360000.0,252519.0,257.265,201.0,172.0,68.0,Low to Low
1830,36081079200,Baisley Park,2670,1550,5.0,441,240.0,42178,781,,2526,1513,13,499,348,62457,1476,,1.748218527,0.196023936,0.485,0.480795675,0.889884763,,0.736405103,-0.810233225,0.196818461,1.204788294,,309500.0,244850.0,212.01,410000.0,321300.0,299.42,234.0,126.0,67.0,High to High
1831,36081079701,Flushing,3302,2393,457.0,797,883.0,40981,844,,6811,5133,414,1144,1971,62283,1310,,-0.560812137,-0.304120742,0.041,0.519801859,0.552132701,,-1.735561478,-3.059119251,-2.094576138,-1.155820587,,550000.0,330000.0,289.87,565000.0,565000.0,355.845,278.0,11.0,2.0,High to High
1832,36081079702,Flushing,8585,6223,1191.0,2083,2297.0,40981,844,,4947,3717,309,1139,684,34225,1374,,-0.549758931,-0.051072914,-0.501,-0.164856885,0.627962085,,-3.025610411,-3.56206156,-2.592556003,-1.646611972,,604000.0,278250.0,259.795,1030000.0,515000.0,495.24,387.0,22.0,11.0,High to High
1833,36081079900,Queensboro Hill,3196,2235,1100.0,756,594.0,60588,952,,3244,2329,464,521,559,43750,1324,,-0.584423271,-0.321043652,-0.097,-0.277909817,0.390756303,,-3.440208299,-4.041237568,-2.901608011,-1.738925332,,595000.0,320000.0,245.6,890000.0,495000.0,457.42,357.0,85.0,43.0,High to High
1834,36081080301,Queensboro Hill,4083,2803,1329.0,1012,708.0,46318,841,,4925,3585,750,1491,484,51571,1496,,-0.53214699,0.221434763,-0.466,0.113411633,0.778834721,,-1.871228161,-3.052796345,-2.004174508,-0.931200325,,615000.0,298000.0,276.2,938000.0,495000.0,434.98,340.0,103.0,71.0,High to High
1835,36081080302,Queensboro Hill,2711,1916,1243.0,577,527.0,71414,764,,3531,2709,760,842,829,86250,1849,,-0.5305663,0.120387045,0.113,0.20774638,1.420157068,,-0.215979978,-1.912006469,-0.907276584,0.099978784,,480000.0,356250.0,256.57,690000.0,610000.0,433.39,339.0,144.0,93.0,High to High
